,gameId,playId,nflId,motionSinceLineset,inMotionAtBallSnap,wasRunningRoute,wasTargettedReceiver,down,yardsToGo,offenseFormation,receiverAlignment,pff_passCoverage,absoluteYardlineNumber,y,topOfLine,bottomOfLine,position,Unnamed: 0,safetyTop,safetyBottom
0,2022090800,56,42489,True,False,1.0,1,1,10,SHOTGUN,2x2,Cover 6-Left,85,43.65,32.87,26.35,WR,1837.0,1.0,2.0
1,2022090800,550,42489,True,True,1.0,0,2,3,SHOTGUN,2x2,Cover-3 Seam,94,38.71,32.51,25.85,WR,1854.0,1.0,1.0
2,2022090800,569,42489,True,True,1.0,1,3,4,SHOTGUN,2x2,Cover-3,95,34.99,32.57,25.86,WR,1855.0,1.0,1.0
3,2022090800,617,42489,False,False,1.0,0,1,10,SHOTGUN,2x1,Cover-3,74,34.55,26.68,20.3,WR,1857.0,2.0,1.0
4,2022090800,1030,42489,False,False,1.0,0,3,2,SHOTGUN,2x2,Cover-3,50,9.36,27.25,20.58,WR,1868.0,0.0,2.0
5,2022090800,1504,42489,False,False,1.0,0,2,8,SHOTGUN,2x2,Cover-3,37,36.84,30.22,23.65,WR,1883.0,1.0,1.0
6,2022090800,2184,42489,True,False,1.0,1,1,10,SHOTGUN,2x2,Cover-3 Seam,32,8.17,26.62,20.12,WR,1901.0,1.0,1.0
7,2022090800,2527,42489,False,False,1.0,0,2,10,SHOTGUN,2x2,Cover-3 Seam,88,11.1,26.85,20.2,WR,1912.0,1.0,1.0
8,2022090800,2572,42489,False,False,1.0,0,2,9,SHOTGUN,2x2,Cover-3 Seam,76,36.45,26.88,14.49,WR,1914.0,1.0,1.0
9,2022090800,2688,42489,True,True,1.0,0,3,7,SHOTGUN,2x2,Cover-3,57,15.12,27.04,20.59,WR,1917.0,1.0,1.0
10,2022090800,2733,42489,False,False,1.0,1,2,4,SHOTGUN,3x1,Red Zone,106,13.31,27.33,20.3,WR,1919.0,1.0,1.0
11,2022090800,2934,42489,True,False,1.0,0,1,10,SHOTGUN,2x1,Cover-3 Seam,51,44.25,33.24,26.67,WR,1926.0,1.0,2.0
12,2022090800,2979,42489,False,False,1.0,1,3,4,SHOTGUN,2x2,Cover-6 Right,57,8.62,27.52,20.73,WR,1928.0,1.0,1.0
13,2022091900,69,42489,True,False,1.0,1,1,10,SHOTGUN,3x1,Cover-3,85,31.68,26.69,19.86,WR,2063.0,1.0,1.0
14,2022091900,137,42489,False,False,1.0,0,2,10,SHOTGUN,2x1,Cover-2,65,15.31,30.2,23.0,WR,2066.0,2.0,1.0
15,2022091900,786,42489,False,False,1.0,0,2,10,I_FORM,2x1,Cover-2,69,35.79,26.84,20.12,WR,2085.0,2.0,1.0
16,2022091900,877,42489,False,False,1.0,1,2,10,SHOTGUN,2x2,Quarters,50,38.75,33.13,26.25,WR,2087.0,1.0,1.0
17,2022091900,922,42489,True,False,1.0,0,4,1,SHOTGUN,3x1,Cover-3,41,16.52,32.77,26.79,WR,2089.0,1.0,2.0
18,2022091900,1687,42489,True,False,1.0,1,1,10,SHOTGUN,2x2,Cover-1,97,45.23,31.06,24.27,WR,2110.0,1.0,2.0
19,2022091900,2289,42489,True,False,1.0,1,2,1,SHOTGUN,2x2,Cover-2,64,14.37,26.93,20.48,WR,2121.0,2.0,1.0
20,2022091900,2849,42489,True,True,1.0,1,1,10,SHOTGUN,2x2,Cover-3,44,40.0,32.72,26.07,WR,2136.0,1.0,2.0
21,2022092503,56,42489,False,False,1.0,1,1,10,EMPTY,3x2,Cover-0,35,38.96,32.92,26.77,WR,5128.0,0.0,2.0
22,2022092503,80,42489,False,False,1.0,0,1,10,I_FORM,2x1,Cover-3,63,35.41,27.7,20.71,WR,5129.0,1.0,1.0
23,2022092503,164,42489,False,False,1.0,0,2,12,SHOTGUN,2x2,Cover-3,80,19.35,36.48,26.83,WR,5131.0,0.0,2.0
24,2022092503,813,42489,False,False,1.0,0,1,10,SHOTGUN,2x2,Cover-1,35,43.09,30.43,24.04,WR,5149.0,1.0,1.0
25,2022092503,837,42489,True,True,1.0,0,2,3,SHOTGUN,2x1,Cover-3,42,37.39,27.64,20.76,WR,5150.0,1.0,1.0
26,2022092503,972,42489,True,True,1.0,0,2,9,SHOTGUN,3x1,Cover-2,73,15.75,33.65,24.13,WR,5155.0,2.0,0.0
27,2022092503,994,42489,True,False,1.0,0,3,9,SHOTGUN,2x2,Cover-0,73,38.51,33.46,26.72,WR,5156.0,3.0,0.0
28,2022092503,1111,42489,False,False,1.0,0,1,9,I_FORM,2x1,Red Zone,19,14.27,26.58,20.53,WR,5159.0,1.0,1.0
29,2022092503,1157,42489,False,False,1.0,0,3,8,SHOTGUN,3x1,Cover-0,18,32.47,26.94,20.84,WR,5161.0,0.0,2.0
30,2022092503,1482,42489,False,False,1.0,0,1,10,SHOTGUN,3x1,Cover-3,85,35.2,29.93,20.81,WR,5171.0,2.0,0.0
31,2022092503,1622,42489,False,False,1.0,1,3,10,SHOTGUN,2x1,Cover-1,55,8.84,27.01,20.38,WR,5177.0,1.0,2.0
32,2022092503,1994,42489,True,False,1.0,0,3,4,SHOTGUN,3x1,Cover-6 Right,59,16.46,32.25,25.64,WR,5188.0,1.0,1.0
33,2022092503,2491,42489,True,True,1.0,0,1,10,SINGLEBACK,2x1,Cover-2,73,36.07,28.17,20.82,WR,5204.0,0.0,2.0
34,2022092503,2538,42489,True,False,1.0,0,3,1,SHOTGUN,3x1,Cover-1,82,34.56,27.62,20.91,WR,5206.0,0.0,1.0
35,2022092503,2984,42489,False,False,1.0,0,2,9,SHOTGUN,2x2,Cover-1,35,37.81,31.49,24.69,WR,5219.0,1.0,2.0
36,2022092503,3323,42489,False,False,1.0,1,2,4,SHOTGUN,3x1,Cover-0,79,20.33,32.77,15.99,WR,5228.0,0.0,2.0
37,2022100202,100,42489,False,False,1.0,0,3,9,SHOTGUN,2x2,Cover-2,84,15.95,30.29,23.21,WR,7074.0,2.0,2.0
38,2022100202,223,42489,False,False,1.0,0,1,10,SHOTGUN,2x1,Cover-2,67,39.6,33.06,26.14,WR,7077.0,1.0,2.0
39,2022100202,266,42489,True,True,1.0,1,3,7,SHOTGUN,2x2,Cover-1,64,40.46,33.25,26.11,WR,7079.0,2.0,2.0
40,2022100202,366,42489,True,False,1.0,0,2,10,SHOTGUN,2x2,Cover-3,33,42.95,32.93,26.06,WR,7082.0,1.0,2.0
41,2022100202,835,42489,True,True,1.0,0,1,10,SHOTGUN,3x1,Cover-3,88,32.85,27.06,20.13,WR,7099.0,2.0,1.0
42,2022100202,857,42489,False,False,1.0,0,2,10,SHOTGUN,2x2,Cover-3,88,14.33,27.03,19.97,WR,7100.0,2.0,1.0
43,2022100202,1942,42489,True,True,1.0,0,2,10,SHOTGUN,2x2,Cover-6 Right,82,41.21,33.59,26.73,WR,7125.0,2.0,2.0
44,2022100202,1966,42489,False,False,1.0,1,1,10,SHOTGUN,3x1,Quarters,96,21.25,33.83,26.86,WR,7126.0,2.0,2.0
45,2022100202,2637,42489,False,False,1.0,1,1,10,SINGLEBACK,2x2,Quarters,30,17.7,33.46,26.96,WR,7144.0,1.0,2.0
46,2022100202,3621,42489,True,True,1.0,1,1,10,EMPTY,3x2,Cover-3,90,32.87,26.97,19.8,WR,7173.0,1.0,2.0
47,2022100202,3666,42489,True,True,1.0,0,3,2,SHOTGUN,2x2,Cover-1,82,43.48,33.08,26.06,WR,7175.0,1.0,2.0
48,2022100901,74,42489,True,False,1.0,0,1,10,SHOTGUN,2x2,Cover-2,108,8.15,27.08,19.93,WR,9096.0,1.0,1.0
49,2022100901,254,42489,True,True,1.0,1,2,16,SHOTGUN,2x2,Cover-2,37,36.64,33.18,26.0,WR,9099.0,1.0,1.0
50,2022100901,278,42489,False,False,1.0,0,3,20,SHOTGUN,3x1,Cover-2,41,21.47,33.36,26.25,WR,9100.0,2.0,1.0
51,2022100901,1099,42489,False,False,1.0,0,3,11,EMPTY,3x2,Cover-6 Right,43,16.38,33.72,26.67,WR,9124.0,1.0,1.0
52,2022100901,1149,42489,True,False,1.0,1,2,8,SHOTGUN,3x1,Cover 6-Left,71,30.5,36.94,20.48,WR,9126.0,1.0,1.0
53,2022100901,1748,42489,False,False,1.0,1,1,10,SHOTGUN,3x1,Cover-3 Seam,33,20.4,33.24,26.99,WR,9143.0,1.0,1.0
54,2022100901,1828,42489,True,True,1.0,0,2,10,SHOTGUN,2x2,Cover-2,56,42.46,33.73,26.74,WR,9146.0,1.0,1.0
